"","nutrient","units"
"2201","water","g"
"4444","energy kcal","kcal"
"6687","energy kj","kJ"
"8930","protein calculated from reference nitrogen","g"
"11173","protein calculated as the sum of amino acid residues","g"
"13416","fatty acid triacyl glycerol equivalents","g"
"15659","fatty acid saturated","g"
"17902","fatty acid mono unsaturated","g"
"20145","fatty acid poly unsaturated","g"
"22388","cholesterol","mg"
"24631","carbohydrate total calculated by difference","g"
"26874","carbohydrate available expressed in mono saccharide equivalents","g"
"29117","dietary fiber soluble","g"
"31360","dietary fiber insoluble","g"
"33603","dietary fiber total","g"
"35846","ash","g"
"38089","sodium","mg"
"40332","potassium","mg"
"42575","calcium","mg"
"44818","magnesium","mg"
"47061","phosphorus","mg"
"49304","iron","mg"
"51547","zinc","mg"
"53790","copper","mg"
"56033","manganese","mg"
"58276","iodine","µg"
"60519","selenium","µg"
"62762","chromium","µg"
"65005","molybdenum","µg"
"67248","retinol","µg"
"69491","alpha carotene","µg"
"71734","beta carotene","µg"
"73977","beta cryptoxanthin","µg"
"76220","beta carotene equivalents","µg"
"78463","retinol activity equivalents","µg"
"80706","vitamin d","µg"
"82949","alpha tocopherol","mg"
"85192","beta tocopherol","mg"
"87435","gamma tocopherol","mg"
"89678","delta tocopherol","mg"
"91921","vitamin k","µg"
"94164","thiamin","mg"
"96407","riboflavin","mg"
"98650","niacin","mg"
"100893","vitamin b 6","mg"
"103136","vitamin b 12","µg"
"105379","folate","µg"
"107622","pantothenic acid","mg"
"109865","biotin","µg"
"112108","ascorbic acid","mg"
"114351","salt equivalents","g"
"116594","alcohol","g"
"118837","nitrate ion","g"
"121080","theobromine","g"
"123323","caffeine","g"
"125566","tannin","g"
"127809","polyphenol","g"
"130052","acetic acid","g"
"132295","cooking oil","g"
"134538","organic acids total","g"
"136781","na",NA
"139024","protein","g"
"141267","protein the sum of amino acid residues","g"
"143510","isoleucine","mg"
"145753","leucine","mg"
"147996","lysine","mg"
"150239","methionine","mg"
"152482","cystine","mg"
"154725","amino acids total sulphur containing","mg"
"156968","phenylalanine","mg"
"159211","tyrosine","mg"
"161454","amino acids total aromatic","mg"
"163697","threonine","mg"
"165940","tryptophan","mg"
"168183","valine","mg"
"170426","histidine","mg"
"172669","arginine","mg"
"174912","alanine","mg"
"177155","aspartic acid","mg"
"179398","glutamic acid","mg"
"181641","glycine","mg"
"183884","proline","mg"
"186127","serine","mg"
"188370","hydroxy proline","mg"
"190613","amino acids total","mg"
"192856","ammonia","mg"
"195099","ammonia derived from non proteinous compounds","mg"
"197342","remarks x",NA
"199585","lipid y","g"
"201828","triacyl glycerol equivalents","g"
"204071","fatty acids total","g"
"206314","fatty acids total saturated","g"
"208557","fatty acids total mono unsaturated","g"
"210800","fatty acids total poly unsaturated","g"
"213043","fatty acids total n 3 poly unsaturated","g"
"215286","fatty acids total n 6 poly unsaturated","g"
"217529","fatty acid 4 0","mg"
"219772","fatty acid 6 0","mg"
"222015","fatty acid 7 0","mg"
"224258","fatty acid 8 0","mg"
"226501","fatty acid 10 0","mg"
"228744","fatty acid 12 0","mg"
"230987","fatty acid 13 0","mg"
"233230","fatty acid 14 0","mg"
"235473","fatty acid 15 0","mg"
"237716","fatty acid 15 0 anteiso acid","mg"
"239959","fatty acid 16 0","mg"
"242202","fatty acid 16 0 iso acid","mg"
"244445","fatty acid 17 0","mg"
"246688","fatty acid 17 0 anteiso acid","mg"
"248931","fatty acid 18 0","mg"
"251174","fatty acid 20 0","mg"
"253417","fatty acid 22 0","mg"
"255660","fatty acid 24 0","mg"
"257903","fatty acid 10 1","mg"
"260146","fatty acid 14 1","mg"
"262389","fatty acid 15 1","mg"
"264632","fatty acid 16 1","mg"
"266875","fatty acid 17 1","mg"
"269118","fatty acid 18 1 undifferentiated","mg"
"271361","fatty acid 18 1 n 9 cis","mg"
"273604","fatty acid 18 1 n 7 cis","mg"
"275847","fatty acid 20 1","mg"
"278090","fatty acid 22 1","mg"
"280333","fatty acid 24 1","mg"
"282576","fatty acid 16 2","mg"
"284819","fatty acid 16 3","mg"
"287062","fatty acid 16 4","mg"
"289305","fatty acid 17 2","mg"
"291548","fatty acid 18 2","mg"
"293791","fatty acid 18 2 n 6","mg"
"296034","fatty acid 18 3","mg"
"298277","fatty acid 18 3 n 3","mg"
"300520","fatty acid 18 3 n 6","mg"
"302763","fatty acid 18 4 n 3","mg"
"305006","fatty acid 20 2 n 6","mg"
"307249","fatty acid 20 3 n 6","mg"
"309492","fatty acid 20 4 n 3","mg"
"311735","fatty acid 20 4 n 6","mg"
"313978","fatty acid 20 5 n 3","mg"
"316221","fatty acid 21 5 n 3","mg"
"318464","fatty acid 22 2","mg"
"320707","fatty acid 22 4 n 6","mg"
"322950","fatty acid 22 5 n 3","mg"
"325193","fatty acid 22 5 n 6","mg"
"327436","fatty acid 22 6 n 3","mg"
"329679","fatty acid unidentified","mg"
